1|Led Zeppelin|Led Zeppelin.png|England|Acknowledged as the most successful and influential band of the heavy rock era, with a catalog that continues to inspire.|Classic Rock|5|None
2|The Beatles|The Beatles.png|England|The most popular and influential rock act of all time, a band that blazed several new trails for popular music.|Classic Rock|5|None
3|The Doors|The Doors.png|USA|Mystical blues-based rock group based around the dark poetry and shamanic presence of Jim Morrison. |Classic Rock|5|None
4|The Police|The Police.png|England|British rock trio with an innovative rock/reggae fusion, superb songwriting, and crossover appeal that shot them straight to international stardom.|Rock|5|None
5|Nirvana|Nirvana.png|USA|Nirvana fue una banda de grunge estadounidense procedente de Aberdeen, Washington, Estados Unidos integrada por el vocalista y guitarrista Kurt Cobain y el bajista Krist Novoselic en 1987.|Grunge|5|None
6|La Vela Puerca|La Vela Puerca.png|Uruguay||Rock Uruguayo|4|None
7|Patricio Rey & Sus Redonditos De Ricota|Patricio Rey & Sus Redonditos De Ricota.png|Argentina|Patricio Rey & Sus Redonditos De Ricota|Rock Argentino|5|None
8|Pearl Jam|Pearl Jam.png|USA|Pearl Jam es un grupo de grunge y rock alternativo formado en Seattle, Estados Unidos, en el año 1990. Con la edición de su su álbum debut Ten en 1991, Pearl Jam irrumpiría con fuerza en el ámbito musical.|Grunge|5|None
9|Trotsky Vengarán|Trotsky Vengarán.png|Uruguay||Rock Uruguayo|5|None
10|The Who|The Who.png|England|An explosive combo that pioneered progressive and arena rock, each new sound increasing their influence and legacy.|Classic Rock|3|None
11|Buitres|Buitres.png|Uruguay|Buitres Después de la Una, abreviado BDDL1, o simplemente Buitres, es un grupo uruguayo de rock formado en 1989 tras la separación de Los Estómagos. |Rock Uruguayo|5|None
12|La Trampa|La Trampa.png|Uruguay||Rock Uruguayo|5|None
13|Hereford|Hereford.png|Uruguay||Rock Uruguayo|5|None
14|Medeski, Martin & Wood|MMW.png|USA|Progressive New York City-based jazz fusionists who straddle the gap between avant-garde improvisation and accessible groove-based jazz.|Jazz|4|None
15|John Scofield|John Scofield.png|USA||Jazz|5|None
16|Bufon|Bufon.png|Uruguay||Rock Uruguayo|4|None
17|El Cuarteto De Nos|El Cuarteto de Nos.png|Uruguay||Rock Uruguayo|5|None
18|Los Traidores|Los Traidores.png|Uruguay||Rock Uruguayo|5|None
19|Los Estomagos|Los Estomagos.png|Uruguay||Rock Uruguayo|5|None
20|El Peyote Asesino|El Peyote Asesino.png|Uruguay||Rock Uruguayo|5|None
21|Abuela Coca|Abuela Coca.png|Uruguay||Rock Uruguayo|3|None
22|Astroboy|Astroboy.png|Uruguay||Rock Uruguayo|3|None
23|Chicos Electricos|Chicos Electricos.png|Uruguay||Rock Uruguayo|4|None
24|Gillespi|Gillespi.png|Argentina||Jazz|4|None
25|Cadaveres Ilustres|Cadaveres Ilustres.png|Uruguay||Rock Uruguayo|3|None
26|Doberman|Doberman.png|Uruguay| Doberman es una banda uruguaya que se formó a mediadios del 2002. En el 2004 ganaron un concurso organizado por Pepsi y Canal 10, destacándose por sobre más de 500 bandas.|Rock Uruguayo|3|None
27|El Fuerte Punto Baz|El Fuerte Punto Baz.png|Uruguay||Rock Uruguayo|4|None
28|No Te Va Gustar|No Te Va Gustar.png|Uruguay||Rock Uruguayo|5|None
29|Chopper|Chopper.png|Uruguay||Rock Uruguayo|3|None
30|El Club De Tobi|El Club De Tobi.png|Uruguay||Rock Uruguayo|2|None
31|Elefante|Elefante.png|Uruguay||Rock Uruguayo|2|None
32|Graffolitas|Graffolitas.png|Uruguay||Rock Uruguayo|2|None
33|Herrumbre|Herrumbre.png|Uruguay||Rock Uruguayo|2|None
34|La Chancha|La Chancha.png|Uruguay||Rock Uruguayo|5|None
